 x,y
 0,1
   9.99999978E-03 ,   1.03999996    
   1.99999996E-02 ,   1.08079994    
   2.99999993E-02 ,   1.12241590    
   3.99999991E-02 ,   1.16486418    
   4.99999970E-02 ,   1.20816147    
   5.99999987E-02 ,   1.25232470    
   7.00000003E-02 ,   1.29737115    
   7.99999982E-02 ,   1.34331858    
   8.99999961E-02 ,   1.39018500    
   9.99999940E-02 ,   1.43798864    
  0.109999999     ,   1.48674846    
  0.119999997     ,   1.53648341    
  0.129999995     ,   1.58721304    
  0.140000001     ,   1.63895726    
  0.149999991     ,   1.69173646    
  0.159999996     ,   1.74557114    
  0.170000002     ,   1.80048251    
  0.179999992     ,   1.85649216    
  0.189999998     ,   1.91362202    
  0.199999988     ,   1.97189450    
  0.209999993     ,   2.03133249    
  0.219999999     ,   2.09195924    
  0.229999989     ,   2.15379834    
  0.239999995     ,   2.21687436    
  0.250000000     ,   2.28121185    
  0.259999990     ,   2.34683609    
  0.269999981     ,   2.41377282    
  0.280000001     ,   2.48204827    
  0.289999992     ,   2.55168915    
  0.299999982     ,   2.62272286    
  0.310000002     ,   2.69517732    
  0.319999993     ,   2.76908088    
  0.329999983     ,   2.84446239    
  0.340000004     ,   2.92135167    
  0.349999994     ,   2.99977875    
  0.359999985     ,   3.07977438    
  0.370000005     ,   3.16136980    
  0.379999995     ,   3.24459720    
  0.389999986     ,   3.32948923    
  0.399999976     ,   3.41607904    
  0.409999996     ,   3.50440073    
  0.419999987     ,   3.59448886    
  0.429999977     ,   3.68637872    
  0.439999998     ,   3.78010631    
  0.449999988     ,   3.87570834    
  0.459999979     ,   3.97322249    
  0.469999999     ,   4.07268715    
  0.479999989     ,   4.17414093    
  0.489999980     ,   4.27762365    
  0.500000000     ,   4.38317633    
  0.509999990     ,   4.49083996    
  0.519999981     ,   4.60065699    
  0.529999971     ,   4.71267033    
  0.539999962     ,   4.82692385    
  0.550000012     ,   4.94346237    
  0.560000002     ,   5.06233168    
  0.569999993     ,   5.18357849    
  0.579999983     ,   5.30725002    
  0.589999974     ,   5.43339491    
  0.599999964     ,   5.56206274    
  0.610000014     ,   5.69330406    
  0.620000005     ,   5.82717037    
  0.629999995     ,   5.96371365    
  0.639999986     ,   6.10298777    
  0.649999976     ,   6.24504757    
  0.659999967     ,   6.38994837    
  0.669999957     ,   6.53774738    
  0.680000007     ,   6.68850231    
  0.689999998     ,   6.84227228    
  0.699999988     ,   6.99911785    
  0.709999979     ,   7.15910006    
  0.719999969     ,   7.32228184    
  0.729999959     ,   7.48872757    
  0.740000010     ,   7.65850210    
  0.750000000     ,   7.83167219    
  0.759999990     ,   8.00830555    
  0.769999981     ,   8.18847179    
  0.779999971     ,   8.37224102    
  0.789999962     ,   8.55968571    
  0.799999952     ,   8.75087929    
  0.810000002     ,   8.94589710    
  0.819999993     ,   9.14481544    
  0.829999983     ,   9.34771156    
  0.839999974     ,   9.55466557    
  0.849999964     ,   9.76575851    
  0.859999955     ,   9.98107338    
  0.870000005     ,   10.2006950    
  0.879999995     ,   10.4247093    
  0.889999986     ,   10.6532040    
  0.899999976     ,   10.8862677    
  0.909999967     ,   11.1239929    
  0.919999957     ,   11.3664732    
  0.930000007     ,   11.6138029    
  0.939999998     ,   11.8660793    
  0.949999988     ,   12.1234007    
  0.959999979     ,   12.3858690    
  0.969999969     ,   12.6535864    
  0.979999959     ,   12.9266577    
  0.989999950     ,   13.2051907    
   1.00000000     ,   13.4892941    
